ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
94337,Camilla Pfeffer,F,19.0,174.0,55.0,Germany,GER,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No Medal
18118,Benot Pierre Caranobe,M,28.0,164.0,60.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
82336,Jay Paul Mortenson,M,21.0,190.0,86.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,No Medal
124373,"Pieter ""Piet"" van der Hem",M,38.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,No Medal
105644,Marta F.  Casimiro dos Santos,F,23.0,158.0,64.0,Angola,ANG,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,No Medal
78340,Salah Al-Mejri,M,26.0,216.0,110.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,No Medal
18683,"Edward Julius ""Ed"" Caruthers, Jr.",M,23.0,196.0,93.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,Silver
28484,Franka Dietzsch,F,32.0,183.0,90.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Discus Throw,No Medal
103605,Colin Russell,M,28.0,193.0,85.0,Canada,CAN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No Medal
71236,Jeannie Longo-Ciprelli,F,29.0,164.0,48.0,France,FRA,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Women's Road Race, Individual",No Medal
76162,"Lawrence ""Larry"" Mason",M,24.0,,,Canada,CAN,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,Speed Skating Men's 500 metres,No Medal
74381,Ingra-Anne Manecke,F,28.0,183.0,84.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,No Medal
17422,"Timothy John ""Tim"" Caldwell",M,21.0,183.0,79.0,United States,USA,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal
96038,pela Ponomarenko Jani,F,26.0,169.0,65.0,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No Medal
277,Shaimaa Abdul Aziz,F,19.0,160.0,53.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Doubles,No Medal
89117,"Susan ""Susie"" O'Neill",F,27.0,171.0,63.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,No Medal
31867,Efioanwan Ekpo,F,20.0,173.0,66.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,No Medal
133862,Gianluca Zambrotta,M,23.0,182.0,74.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,No Medal
120553,"William Stephen Titt (LeBeau-, -LeBeau)",M,31.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Bronze
29921,Momodou Lamin Drammeh,M,17.0,,,Gambia,GAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal
6812,Kamal Bahamdan,M,26.0,172.0,69.0,Saudi Arabia,KSA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal
49875,Blair Robert Hopping,M,23.0,180.0,80.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No Medal
95788,Jan Polanc,M,24.0,172.0,60.0,Slovenia,SLO,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",No Medal
109792,Sayuri Shimizu,F,25.0,167.0,53.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",No Medal
121431,Oswald Ttsch,M,24.0,174.0,67.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,No Medal
77052,Jrg Mayr,M,22.0,177.0,76.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
3038,Manuel Alonso de Areyzaga,M,28.0,175.0,66.0,Spain,ESP,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,No Medal
80871,Gyz Mogyorossy,M,33.0,,,Hungary,HUN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,No Medal
110399,Sijoma,M,,,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",No Medal
100687,Emanuel Rieder,M,20.0,179.0,82.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,No Medal
97784,Qiu Shengjiong,M,22.0,182.0,90.0,China,CHN,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,No Medal
65492,Sven Kwiatkowski,M,27.0,171.0,65.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,No Medal
116380,Sean Sullivan,M,25.0,,,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Extra-Lightweight,No Medal
112141,Aleksandr Viktorovich Smirnov,M,25.0,182.0,73.0,Russia-1,RUS,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Pairs,No Medal
53311,"Thomas Michael ""Tom"" Jager",M,23.0,190.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
89247,Albert Jan Cornelis Oosthoek,M,26.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,No Medal
60454,Wolfgang Kindl,M,25.0,166.0,78.0,Austria,AUT,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,No Medal
74043,"Georges Dsir ""Go"" Malfait",M,27.0,169.0,60.0,France,FRA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,No Medal
77712,"Cameron ""Maxi"" McKenzie-McHarg",M,28.0,196.0,98.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Silver
