Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Serge Jonas Ibaka Ngobila,M,22.0,208.0,107.0,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Silver,208.0,107.0
Robbie Ian Brightwell,M,24.0,188.0,81.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,188.0,81.0
Daniel Matasi Rudisha,M,23.0,180.0,76.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,No Medal,180.0,76.0
Moussa Jaalouk,M,27.0,167.0,63.0,Lebanon,LIB,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,No Medal,167.0,63.0
Garry John Sutton,M,20.0,179.0,72.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No Medal,179.0,72.0
Remig Stumpf,M,22.0,193.0,88.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",No Medal,193.0,88.0
Miloslav Kuek,M,21.0,175.0,62.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,175.0,62.0
Pl Sandli,M,27.0,189.0,86.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,No Medal,189.0,86.0
Georgi Marinov Panov,M,23.0,188.0,86.0,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,No Medal,188.0,86.0
Wang Hao,M,24.0,175.0,78.0,China,CHN,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,Silver,175.0,78.0
Annemarie Zimmermann,F,24.0,170.0,65.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,170.0,65.0
Ihor Ishutko,M,23.0,168.0,60.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Aerials,No Medal,168.0,60.0
"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,23.0,169.0,69.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,No Medal,169.0,69.0
Mitja Petkovek,M,31.0,167.0,65.0,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,167.0,65.0
Vichai Sangdhamkichakul,M,21.0,166.0,55.0,Thailand,THA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,No Medal,166.0,55.0
Mirosaw erkowski,M,23.0,176.0,60.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",No Medal,176.0,60.0
Bla Herczeg,M,25.0,169.0,59.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,No Medal,169.0,59.0
Lauri Fredrik Rechardt,M,23.0,189.0,86.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy,No Medal,189.0,86.0
Taras Mykolaiovych Senkiv,M,20.0,180.0,80.0,Ukraine-2,UKR,2010 Winter,2010,Winter,Vancouver,Luge,Luge Mixed (Men)'s Doubles,No Medal,180.0,80.0
Gerardo Jos Juregui,M,30.0,169.0,72.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,169.0,72.0
Yannick Szczepaniak,M,24.0,188.0,120.0,France,FRA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",No Medal,188.0,120.0
Luan Krasniqi,M,25.0,190.0,92.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Heavyweight,Bronze,190.0,92.0
Emma Maud Valborg Larsson,F,17.0,147.0,40.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,147.0,40.0
Tatyana Andreyevna Savelyeva,F,21.0,164.0,57.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,No Medal,164.0,57.0
"Charles James Bacon, Jr.",M,21.0,183.0,77.0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 400 metres,No Medal,183.0,77.0
Aleksandr Nikolayevich Shitov,M,21.0,193.0,93.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,No Medal,193.0,93.0
"Rose-Marie ""Romi"" Kessler",F,21.0,159.0,48.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,No Medal,159.0,48.0
Qiu Bo,M,19.0,165.0,58.0,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,Silver,165.0,58.0
Andrzej Marszaek,M,22.0,195.0,90.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,No Medal,195.0,90.0
Eira Marita Lehtonen (-Lydiard),F,21.0,159.0,53.0,Finland,FIN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,159.0,53.0
Werner Lippoldt,M,28.0,177.0,71.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze,177.0,71.0
Per Anders Daun,M,24.0,176.0,66.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",No Medal,176.0,66.0
Birthe Lindskov Hansen (-Madsen),F,20.0,178.0,64.0,Denmark,DEN,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No Medal,178.0,64.0
Klaus Bodenmller,M,29.0,194.0,112.0,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,No Medal,194.0,112.0
Oleh Yuriyovych Verniaiev,M,18.0,161.0,55.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,161.0,55.0
John Pearce,M,40.0,170.0,66.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,170.0,66.0
Raimo Olavi Hirvonen,M,22.0,160.0,50.0,Finland,FIN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",No Medal,160.0,50.0
Alla Petrovna Tsuper,F,18.0,153.0,53.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Women's Aerials,No Medal,153.0,53.0
Andrzej Zygmunt Trajda,M,33.0,180.0,70.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No Medal,180.0,70.0
Amandine Suzanne Monique Leynaud,F,26.0,178.0,64.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,No Medal,178.0,64.0
Bjrn Michel,M,25.0,185.0,82.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,No Medal,185.0,82.0
Artur Hanse,M,20.0,180.0,75.0,Portugal,POR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,180.0,75.0
Jakub Suchek,M,19.0,182.0,64.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Team",No Medal,182.0,64.0
Burglinde Pollak (-Grimm),F,29.0,179.0,78.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Pentathlon,No Medal,179.0,78.0
"Elizabeth Anne ""Betty-Anne"" Gowans",F,21.0,165.0,54.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No Medal,165.0,54.0
Veronika Vtkov,F,25.0,166.0,56.0,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,No Medal,166.0,56.0
Thierry Georges Vigneron,M,28.0,181.0,73.0,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,No Medal,181.0,73.0
Ji Vyichlo,M,30.0,184.0,80.0,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,No Medal,184.0,80.0
Belinda Brooks,F,27.0,176.0,75.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,No Medal,176.0,75.0
Ivan Nmethy,M,33.0,178.0,75.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Free Pistol, 50 metres",No Medal,178.0,75.0
Niklaus Schurtenberger,M,40.0,188.0,84.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,188.0,84.0
Bettina Blumenberg (-Heinicke),F,25.0,168.0,58.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,No Medal,168.0,58.0
Nstor Ariel Garca Rivero,M,25.0,169.0,65.0,Uruguay,URU,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,No Medal,169.0,65.0
Johannes Wohlwend,M,19.0,168.0,71.0,Liechtenstein,LIE,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,No Medal,168.0,71.0
Khatuna Kvrivishvili-Lorig,F,22.0,170.0,64.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual,No Medal,170.0,64.0
Petter Laukslett Tande,M,24.0,178.0,65.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",No Medal,178.0,65.0
"Cynthia L. ""Cindy"" Eckert (-Rusher)",F,22.0,175.0,66.0,United States,USA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,No Medal,175.0,66.0
Dagmar Fuhrmann (Jost-),F,22.0,171.0,57.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 400 metres,No Medal,171.0,57.0
Vladimir Ivanovich Zharov,M,27.0,160.0,51.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,No Medal,160.0,51.0
Jzef Rajnisz,M,28.0,166.0,67.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,No Medal,166.0,67.0
Silviya Zarkova Mitova (-Hutchinson),F,16.0,153.0,42.0,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No Medal,153.0,42.0
Mark Warnecke,M,18.0,187.0,100.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,187.0,100.0
Helen Louise Frank,F,17.0,174.0,64.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,No Medal,174.0,64.0
Michael Nikolay,M,23.0,175.0,65.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Silver,175.0,65.0
Andrey Vladimirovich Ivanov,M,20.0,191.0,85.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,No Medal,191.0,85.0
Iloai Suaniu,F,17.0,178.0,68.0,Samoa,SAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,No Medal,178.0,68.0
Ben Holbrook,M,30.0,187.0,90.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,No Medal,187.0,90.0
Maurice Jean Marie-Joseph Gudin de Vallerin,M,39.0,165.0,62.0,France,FRA,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",No Medal,165.0,62.0
Anik Ducza-Jnosi,F,18.0,161.0,57.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,No Medal,161.0,57.0
Lars Peter Berggren,M,22.0,186.0,80.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,No Medal,186.0,80.0
Tero Mikael Jrvenp,M,23.0,188.0,95.0,Finland,FIN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,No Medal,188.0,95.0
Christian Coleman,M,20.0,175.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal,175.0,72.0
"Giansandro ""Sandro"" Rudan",M,19.0,188.0,79.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,No Medal,188.0,79.0
Regina Zafarovna Rakhimova,F,24.0,160.0,57.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,No Medal,160.0,57.0
Karl Hugo Wieslander,M,18.0,182.0,81.0,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Long Jump,No Medal,182.0,81.0
"Elizabeth ""Liz"" Stephen",F,23.0,157.0,48.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,157.0,48.0
Roger De Vlaeminck,M,21.0,181.0,74.0,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No Medal,181.0,74.0
Wolfgang Sieber,M,22.0,171.0,60.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Butterfly,No Medal,171.0,60.0
Joe Berc,M,27.0,191.0,90.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,No Medal,191.0,90.0
"Manuel ""Manolo"" Raga Navarro",M,20.0,187.0,77.0,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,No Medal,187.0,77.0
Kurt Anders Artur Wigartz,M,19.0,168.0,67.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,168.0,67.0
Michel Trenchant,M,27.0,169.0,67.0,France,FRA,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Singles, Slalom",No Medal,169.0,67.0
Samson Siasia,M,24.0,180.0,72.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,No Medal,180.0,72.0
"Vladimer ""Lado"" Gogoladze",M,22.0,169.0,64.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,169.0,64.0
George Grey,M,30.0,179.0,76.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,No Medal,179.0,76.0
rika Cristiano dos Santos,F,28.0,172.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,No Medal,172.0,55.0
Andreas Linger,M,24.0,184.0,85.0,Austria-1,AUT,2006 Winter,2006,Winter,Torino,Luge,Luge Mixed (Men)'s Doubles,Gold,184.0,85.0
Abderrahman Naanaa,M,27.0,165.0,54.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No Medal,165.0,54.0
Lucas Kipkemboi Sang,M,25.0,188.0,72.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,188.0,72.0
Aleksandra Jadwiga Klejnowska-Krzywaska,F,17.0,156.0,53.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Lightweight,No Medal,156.0,53.0
Damir Fejzi,M,18.0,180.0,68.0,Serbia,SRB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,No Medal,180.0,68.0
Felix Poletti,M,36.0,174.0,74.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Skeleton,Skeleton Men's Skeleton,No Medal,174.0,74.0
Inez Fischer-Credo,F,40.0,169.0,60.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",No Medal,169.0,60.0
Bart Veldkamp,M,24.0,181.0,84.0,Netherlands,NED,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 5,000 metres",No Medal,181.0,84.0
Wang Ying,M,24.0,185.0,84.0,China,CHN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",No Medal,185.0,84.0
Steve Delaup,M,21.0,170.0,58.0,France,FRA,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",No Medal,170.0,58.0
Ji Gach,M,26.0,180.0,90.0,Czech Republic,CZE,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,No Medal,180.0,90.0
Viktoriya Nikolayevna Troitskaya-Taranina,F,24.0,170.0,50.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,No Medal,170.0,50.0
Hryhoriy Oleksandrovych Hamarnik,M,31.0,171.0,73.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No Medal,171.0,73.0
Ong Ching-Ming,M,15.0,173.0,63.0,Chinese Taipei,TPE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,173.0,63.0
Hong Tai-Kwai,F,21.0,151.0,47.0,Chinese Taipei,TPE,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No Medal,151.0,47.0
Christine Hough (-Sweeney),F,22.0,157.0,47.0,Canada-2,CAN,1992 Winter,1992,Winter,Albertville,Figure Skating,Figure Skating Mixed Pairs,No Medal,157.0,47.0
Javier Gutirrez Cuevas,M,24.0,177.0,65.0,Spain,ESP,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,177.0,65.0
Patryk Poreba,M,21.0,182.0,80.0,Poland,POL,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'s Doubles,No Medal,182.0,80.0
Park Seung-Ok,M,26.0,167.0,68.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,No Medal,167.0,68.0
Joo Gabriel Schlittler,M,23.0,197.0,110.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Heavyweight,No Medal,197.0,110.0
Jared Graves,M,25.0,177.0,82.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX,No Medal,177.0,82.0
Tanja Eisenschmid,F,20.0,170.0,63.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,170.0,63.0
Aleksandr Yuryevich Sannikov,M,30.0,171.0,68.0,Belarus,BLR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,171.0,68.0
Lisa Ecker,F,23.0,157.0,55.0,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,157.0,55.0
Helen Margaret Fleming,F,26.0,183.0,72.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxless Pairs,No Medal,183.0,72.0
Gerhard Wieland,M,20.0,184.0,80.0,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 100 metres Freestyle,No Medal,184.0,80.0
Ina-Yoko Teutenberg,F,25.0,163.0,64.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Women's Road Race, Individual",No Medal,163.0,64.0
Jeong U-Yeong,M,22.0,186.0,78.0,South Korea,KOR,2012 Summer,2012,Summer,London,Football,Football Men's Football,Bronze,186.0,78.0
Erwina Lilia Ry-Ferens,F,25.0,168.0,61.0,Poland,POL,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 3,000 metres",No Medal,168.0,61.0
Vladimr Bil,M,24.0,191.0,92.0,Slovakia,SVK,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,191.0,92.0
Lawrence Clayton Johnson,M,26.0,185.0,86.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,Silver,185.0,86.0
Pae Gil-Su,M,28.0,163.0,56.0,North Korea,PRK,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,163.0,56.0
Jelena Dokic,F,17.0,175.0,57.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,No Medal,175.0,57.0
Yu In-Tak,M,26.0,169.0,68.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,169.0,68.0
Atle Skrdal,M,21.0,184.0,83.0,Norway,NOR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,No Medal,184.0,83.0
Roberto Antonio Len Richards Aguiar,M,26.0,183.0,78.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,183.0,78.0
Flix Erauzquin Erauzquin,M,40.0,182.0,100.0,Spain,ESP,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Discus Throw,No Medal,182.0,100.0
Vlastimil Bubnk,M,32.0,178.0,72.0,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,178.0,72.0
Zalina Marghiev (-Petrivskaya),F,20.0,174.0,80.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Hammer Throw,No Medal,174.0,80.0
Alicja Maria Tchrz,F,19.0,176.0,68.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,No Medal,176.0,68.0
Rosanna Lee Crawford,F,21.0,180.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,No Medal,180.0,67.0
Jrgen Paeke,M,23.0,169.0,68.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,169.0,68.0
Yefim Aronovich Chulak,M,28.0,191.0,90.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Silver,191.0,90.0
Ute Thimm (Finger-),F,26.0,167.0,54.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,No Medal,167.0,54.0
Yuliya Nikolayevna Sinyak-Alipova,F,26.0,167.0,54.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No Medal,167.0,54.0
Darya Konstantinovna Ustinova,F,17.0,183.0,70.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,No Medal,183.0,70.0
Yordan Nikolov Danchev,M,21.0,198.0,91.0,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,No Medal,198.0,91.0
Emmanuel Jonnier,M,30.0,175.0,65.0,France,FRA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,175.0,65.0
Anas Sameer N. H. Abuyousuf,M,14.0,181.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,No Medal,181.0,77.0
Johann Mhlegg,M,21.0,185.0,80.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,No Medal,185.0,80.0
Stanisaw Gsienica Daniel,M,20.0,170.0,71.0,Poland,POL,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",No Medal,170.0,71.0
Shigeko Kawanishi,F,23.0,171.0,66.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,No Medal,171.0,66.0
Heiner Oviedo Moreira,M,23.0,170.0,57.0,Costa Rica,CRC,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Flyweight,No Medal,170.0,57.0
William Xalco,M,20.0,167.0,60.0,India,IND,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No Medal,167.0,60.0
Christine Laprell,F,17.0,171.0,57.0,West Germany,FRG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Downhill,No Medal,171.0,57.0
Jeong Jin-Su,M,19.0,160.0,55.0,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Horse Vault,No Medal,160.0,55.0
Jerzy Sandera,M,23.0,177.0,75.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",No Medal,177.0,75.0
"Harold ""Harry"" Cullum",M,35.0,175.0,76.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",No Medal,175.0,76.0
Eberhard Gienger,M,24.0,176.0,68.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Team All-Around,No Medal,176.0,68.0
Matja Poklukar,M,33.0,183.0,74.0,Slovenia,SLO,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,No Medal,183.0,74.0
Hiroshi Miura,M,22.0,173.0,65.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,No Medal,173.0,65.0
Morena Gallizio (-Tescari),F,24.0,173.0,68.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Downhill,No Medal,173.0,68.0
Hilkka Maria Riihivuori-Kuntola,F,23.0,162.0,54.5,Finland,FIN,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,No Medal,162.0,54.5
Izabella Dylewska-wiatowiak,F,20.0,169.0,66.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,169.0,66.0
Annett D. Buckner Davis,F,26.0,177.0,70.0,United States-2,USA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No Medal,177.0,70.0
Vasiliki Vougiouka,F,26.0,181.0,70.0,Greece,GRE,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Sabre, Individual",No Medal,181.0,70.0
