Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Andrey Krukov,M,27.0,190.0,86.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Pairs,No Medal,190.0,86.0
Savatheda Fynes,F,21.0,165.0,64.0,Bahamas,BAH,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,165.0,64.0
Eric Ashely Thomas,M,26.0,190.0,88.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,No Medal,190.0,88.0
Thipsamay Chanthaphone,M,18.0,168.0,56.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,No Medal,168.0,56.0
David Santos Zuniga,M,28.0,165.0,62.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No Medal,165.0,62.0
Muhammad Faiz,M,19.0,176.0,79.0,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Middleweight, Freestyle",No Medal,176.0,79.0
Nikolay Ivanov,M,22.0,177.0,77.0,Kazakhstan,KAZ,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,No Medal,177.0,77.0
rey Edda Elsdttir,F,23.0,181.0,65.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,No Medal,181.0,65.0
Mariya Zdravkova Grozdeva (Grigorova-),F,36.0,163.0,63.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",No Medal,163.0,63.0
Otto R. Brolo Hernndez,M,39.0,181.0,79.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No Medal,181.0,79.0
Petros Kyritsis,M,30.0,174.0,76.0,Cyprus,CYP,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,No Medal,174.0,76.0
Kroly Bajk,M,24.0,184.0,89.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,184.0,89.0
Mauno Aulis Nissinen,M,21.0,170.0,63.5,Finland,FIN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,170.0,63.5
Ian Gordon Ferguson,M,40.0,179.0,85.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,179.0,85.0
Walter Knig,M,23.0,183.0,80.0,Austria,AUT,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,183.0,80.0
Arvid Folke Alnevik (Andersson-),M,28.0,182.0,70.0,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,No Medal,182.0,70.0
Raul Tsirek'idze,M,21.0,172.0,85.0,Georgia,GEO,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,No Medal,172.0,85.0
Daphne Touw,F,30.0,168.0,80.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Bronze,168.0,80.0
Olga Algertovna Volozhinskaya,F,21.0,170.0,54.0,Soviet Union-3,URS,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,No Medal,170.0,54.0
Maksim Anatolyevich Odnodvortsev,M,25.0,173.0,67.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,173.0,67.0
Emilio Berroa,M,25.0,169.0,88.0,Dominican Republic,DOM,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Light-Heavyweight,No Medal,169.0,88.0
Yevgeniya Vladimirovna Medvedeva (Arbuzova-),F,33.0,158.0,56.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,No Medal,158.0,56.0
Giovanna Trillini,F,30.0,164.0,59.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's Foil, Individual",Bronze,164.0,59.0
Janelle Lynette Elford (-Pallister),F,18.0,175.0,62.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,No Medal,175.0,62.0
Szymon Sobala,M,33.0,173.0,68.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,173.0,68.0
Szymon Piotr Koecki,M,26.0,181.0,94.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,181.0,94.0
Dai Tamesue,M,30.0,170.0,67.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,No Medal,170.0,67.0
Stephen O'Flaherty,M,26.0,178.0,72.0,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, Slalom",No Medal,178.0,72.0
"Joseph Steven ""Joe"" Sakic",M,36.0,180.0,88.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,180.0,88.0
